Search keyword,Campaign,Ad group,Currency,Clicks,Impressions,Cost,CTR,Conv. value,All conv.,Avg. CPC,Conversions,Cost / conv.,Conv. value / cost
anonymized_keyword,anonymized,anonymized_ad_group,USD,12,94,20.3,0.1277,541.88,3.0,1.69,2.0,10.15,26.69
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,756,25651,1221.68,0.029500000000000002,2362.78,38.6,1.62,13.7,89.16,1.93
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,89,181,49.34,0.4917,1918.84,9.54,0.55,9.54,5.17,38.89
anonymized_keyword,anonymized,anonymized_ad_group,USD,29,459,28.4,0.0632,159.98,3.0,0.98,2.0,14.2,5.63
anonymized_keyword,anonymized,anonymized_ad_group,USD,10,111,16.94,0.0901,60.0,2.0,1.69,2.0,8.47,3.54
anonymized_keyword,anonymized,anonymized_ad_group,USD,36,166,39.46,0.2169,67.34,2.55,1.1,0.55,72.36,1.71
anonymized_keyword,anonymized,anonymized_ad_group,USD,7,74,4.92,0.0946,554.37,2.0,0.7,2.0,2.46,112.68
anonymized_keyword,anonymized,anonymized_ad_group,USD,23,589,54.89,0.039,51.0,1.5,2.39,1.5,36.59,0.93
anonymized_keyword,anonymized,anonymized_ad_group,USD,9,25,6.55,0.36,245.37,1.77,0.73,0.77,8.54,37.46
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,37,91,22.48,0.40659999999999996,485.01,5.46,0.61,3.46,6.49,21.58
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,75,1447,84.02,0.0518,1245.59,3.5,1.12,2.5,33.61,14.82
anonymized_keyword,anonymized,anonymized_ad_group,USD,47,1341,54.89,0.035,36.0,2.0,1.17,1.0,54.89,0.66
anonymized_keyword,anonymized,anonymized_ad_group,USD,9,55,4.8,0.1636,36.0,1.0,0.53,1.0,4.8,7.5
anonymized_keyword,anonymized,anonymized_ad_group,USD,2,20,4.17,0.1,36.0,1.0,2.08,1.0,4.17,8.63
anonymized_keyword,anonymized,anonymized_ad_group,USD,18,79,7.36,0.2278,156.99,4.0,0.41,3.0,2.45,21.33
anonymized_keyword,anonymized,anonymized_ad_group,USD,31,404,32.54,0.0767,176.48,4.05,1.05,2.05,15.87,5.42
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,19,430,11.78,0.044199999999999996,99.0,2.0,0.62,1.0,11.78,8.4
anonymized_keyword,anonymized,anonymized_ad_group,USD,3,142,2.5,0.021099999999999997,275.43,2.0,0.83,1.0,2.5,110.17
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,6,33,7.39,0.1818,413.79,3.0,1.23,3.0,2.46,55.99
