Search keyword,Campaign,Ad group,Currency,Clicks,Impressions,Cost,CTR,Conv. value,Conversions,All conv.,Cost / conv.,Conv. value / cost
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,713,2361,142.09,0.302,2745.82,15.62,648.12,9.1,19.32
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,60,206,2.83,0.2913,224.85,1.0,41.0,2.83,79.45
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,334,2355,83.52,0.1418,204.85,1.0,186.0,83.52,2.45
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,826,91273,300.94,0.009000000000000001,1244.82,6.58,674.98,45.75,4.14
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,23402,132075,3028.94,0.1772,77002.39,427.4,24662.08,7.09,25.42
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,5390,37585,811.52,0.1434,37058.69,169.35,5567.95,4.79,45.67
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,237,1159,40.47,0.2045,1175.0,9.96,555.06,4.06,29.03
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,231,1196,15.34,0.1931,245.27,3.25,182.25,4.72,15.99
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,19,275,1.87,0.0691,22.9,1.0,19.0,1.87,12.25
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,48,732,6.05,0.06559999999999999,286.41,1.5,41.0,4.03,47.34
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,518,3211,52.59,0.1613,206.83,0.83,442.83,63.11,3.93
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,12765,52177,2035.93,0.2446,57373.69,399.96,16183.98,5.09,28.18
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,77,613,11.13,0.12560000000000002,562.6,2.62,147.12,4.24,50.55
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,348,1976,34.61,0.1761,2846.07,17.67,301.67,1.96,82.23
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,404,7375,168.79,0.0548,180.43,1.0,41.0,168.79,1.07
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,67,253,14.4,0.2648,506.94,2.07,69.07,6.97,35.2
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,1018,24140,625.03,0.042199999999999994,150.48,1.0,259.0,625.03,0.24
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,48,160,4.8,0.3,13.9,1.0,73.0,4.8,2.9
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,153,1933,30.71,0.07919999999999999,2124.0,11.28,168.28,2.72,69.16
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,16,310,1.7,0.0516,50.03,1.0,13.0,1.7,29.43
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,12729,38125,1626.9,0.33390000000000003,41737.17,249.76,14840.89,6.51,25.65
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,245,3564,103.45,0.0687,36.9,1.0,15.0,103.45,0.36
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,36,112,6.89,0.3214,420.35,4.47,52.97,1.54,61.01
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,35,127,1.47,0.2756,210.83,1.0,34.0,1.47,143.42
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,3472,12126,110.43,0.2863,30926.28,159.32,5649.32,0.69,280.05
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,221,1563,47.41,0.1414,1322.94,6.23,317.63,7.61,27.9
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,114,537,8.88,0.21230000000000002,341.77,1.67,151.67,5.33,38.49
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,407,1610,40.33,0.2528,3571.66,20.38,672.88,1.98,88.56
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,322,2257,36.16,0.1427,723.85,3.08,418.38,11.73,20.02
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,813,2299,140.76,0.35359999999999997,22070.06,34.27,1216.77,4.11,156.79
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,201,1054,55.37,0.1907,1223.03,4.33,151.33,12.8,22.09
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,424,5289,71.56,0.0802,787.94,6.33,208.53,11.3,11.01
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,189,2459,67.24,0.07690000000000001,190.93,1.0,115.0,67.24,2.84
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,45,80,3.01,0.5625,6546.35,6.5,126.5,0.46,2174.87
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,24,354,7.62,0.0678,14.25,1.0,16.0,7.62,1.87
